user_id,fname,lname,username,email,user_password,user_role
1,admin,EasyRent,admin,admin@gmail.com,21232f297a57a5a743894a0e4a801fc3,admin
2,Ed,Sheeran,sheeraned,eds@gmail.com,4ccb00973e9cd9758bc61d2dde00f3aa,renter
3,Sheena,Barnedo,sheenab,shebar@gmail.com,f35ae36195a84ae117ad7c768fdcd69a,renter
4,Lea,Vuiton,vuitonl,lv@gmail.com,195ee98e844f3a2d3b521d1347a9dc55,renter
5,Anya,Forger,anyaforger,anya@gmail.com,b5cf1fc4dc4ee22b7e6baff700297651,renter
6,Brian,Lim,brylim,brianlim@gmail.com,19c215cba150cb693edda8d6cd1b9cb8,renter
7,Morty,Lee,mlee,morty@gmail.com,5b7789c684005daa8b91ffd995c9817a,renter
8,Rick,Brown,rickb,rick@gmail.com,8c156790fb962a1a876edc3f4c27fd78,renter
9,Loid,Grim,loidgrim,loid@gmail.com,f49eced959fa0e3a8e7f41961bdbdbe4,renter
10,Mike,Sy,msy,mikesy@gmail.com,148a90de0bb9a91d895bca4fb35496a2,renter
